district,flood_risk,drought_risk
kanniyakumariumari,0.0498,0.5
kannur,0.2469,0.7673
kanpur,0.5,0.4293
kanpur dehat,0.0653,0.5
kanpur nagar,0.1161,0.5
kanpur nagar dehat,0.1104,0.5
kanpur nagar nagar,0.0866,0.5
kanpur nagardehat,0.0022,0.5
kanyakumari,0.5,0.5535
kapurthala,0.158,0.1402
karaikal,0.0081,0.5
karauli,0.0374,0.5
karbi anglong,0.1992,0.6683
kargil,0.0234,0.5
karimganj,0.7084,0.5
karimnagar,0.063,0.5795
karnal,0.1228,0.2048
karnataka,0.0043,0.5
karur,0.0646,0.5
kasaragod,0.1938,0.5
kasganj,0.3016,0.5
kashmir,0.0043,0.5
kashmir valley,0.013,0.5
kathua,0.0637,0.5
katihar,0.3822,0.5
katni,0.0372,0.5
kaushambi,0.1798,0.5
kendrapara,0.4545,0.5
kendujhar,0.1038,0.5
keonjhar,0.5,0.6687
khagaria,0.3604,0.5
khammam,0.0931,0.6989
khandwa / east nimar,0.5,0.6884
khargone / west nimar,0.5,0.6718
khargone khargone west nimar,0.0606,0.5
kheda,0.1165,0.5237
kheri,0.2724,0.4647
khordha,0.1083,0.5
khowai,0.0621,0.5
khunti,0.0264,0.5
khurja,0.0022,0.5
kinnaur,0.1391,0.7123
kiphire,0.0269,0.5
kishanganj,0.2889,0.5
kishtwar,0.0579,0.5
kochi,0.0022,0.5
kodagu,0.1456,0.5
kodagu / coorg,0.5,0.7052
kodarma,0.0,0.5
koderma,0.0043,0.5
kohima,0.0285,0.5
kokrajhar,0.2135,0.5
kokrajhar darrang,0.0022,0.5
kolar,0.0638,0.6638
kolasib,0.0465,0.5
kolhapur,0.1337,0.4886
kolkata,0.1972,0.5
kollam,0.2058,0.7348
kollam kozhikode,0.0022,0.5
kondagaon,0.0228,0.5
koppal,0.0647,0.5
koraput,0.1013,0.6547
korba,0.0131,0.5
korea,0.0022,0.5
koriya,0.0101,0.5
kota,0.1608,0.4743
kottayam,0.253,0.6974
kozhikode,0.2615,0.7707
kra daadi,0.0865,0.5
krishna,0.0973,0.6441
krishnagiri,0.0573,0.5
kulgam,0.0373,0.5
kullu,0.2124,0.654
kumuram bheem asifabad,0.0348,0.5
kupwara,0.0608,0.5
kurnool,0.0797,0.5927
kurukshetra,0.1619,0.5
kurung kumey,0.0659,0.5
kushinagar,0.1497,0.5
kutch,0.5,0.7013
lahul  spiti,0.0003,0.5
lahul  spitti,0.0022,0.5
lahul & spiti,0.5,0.8607
lahul and spiti,0.0866,0.5
lakhimpur,0.7777,0.7321
lakhisarai,0.3338,0.5
lakshadweep,0.0847,0.5
lalitpur,0.0586,0.5
latehar,0.0159,0.5
latur,0.0997,0.5
lawngtlai,0.0743,0.5
leh,0.0004,0.5
leh ladakh,0.0108,0.5
lepa rada,0.0184,0.5
leparada,0.0325,0.5
lohardaga,0.0276,0.5
lohit,0.1277,0.5
longding,0.0568,0.5
longleng,0.0622,0.5
lower dibang valley,0.0794,0.5
lower lower subansiri,0.0455,0.5
lower siang,0.0828,0.5
lower subansiri,0.0197,0.5
lucknow,0.1547,0.544
ludhiana,0.1834,0.0
lunglei,0.0736,0.5
madhepura,0.1801,0.5
madhubani,0.2243,0.5
madurai,0.0669,0.5401
mahabubabad,0.0182,0.5
mahabubnagar,0.0564,0.6684
maharashtra,0.0043,0.5
mahasamund,0.0219,0.5
mahe,0.0073,0.5
mahendragarh,0.0357,0.5
mahendragarh / narnaul,0.5,0.4196
mahesana,0.0601,0.5
mahisagar,0.0451,0.5
mahoba,0.0613,0.5
mahrajganj,0.1251,0.5
mainpuri,0.138,0.442
majuli,0.3368,0.5
malappuram,0.2455,0.7681
malda,0.0844,0.4378
maldah,0.2349,0.5
malikkeri,0.0022,0.5
malkangiri,0.0513,0.5
mamit,0.0444,0.5
manali,0.013,0.5
mancachar,0.0411,0.5
mancherial,0.0348,0.5
mandi,0.2082,0.7026
mandla,0.0466,0.7972
mandsaur,0.0419,0.6671
mandya,0.0949,0.6101
mangalbari,0.0022,0.5
mangalore,0.013,0.5
mangan,0.0411,0.5
mansa,0.1212,0.5
many  tamil nadu,0.0022,0.5
many  the state,0.0043,0.5
many districts of south bengal,0.0022,0.5
many districts of tamil nadu,0.0043,0.5
many districts of uttar kashi pradesh,0.0043,0.5
many parts,0.0195,0.5
marathwada,0.0043,0.5
marigaon,0.2922,0.5
mathura,0.1797,0.4232
mau,0.159,0.5
mayurbhanj,0.0905,0.5
mayurbhanja,0.5,0.643
medak,0.0604,0.6233
medchal malkajgiri,0.0135,0.5
medinipur west,0.1654,0.5
meerut,0.1516,0.3545
meghalaya,0.0087,0.5
mehsana,0.5,0.4733
midnapur,0.5,0.5226
mirpur,0.0353,0.5
mirzapur,0.1586,0.5
mirzpur,0.5,0.6288
moga,0.1184,0.5
mokokchung,0.0276,0.5
mon,0.0602,0.5
moradabad,0.1613,0.4429
morbi,0.0582,0.5
morena,0.0952,0.4453
morigaon,0.2855,0.5
most of the districts,0.0108,0.5
most parts,0.0022,0.5
most upper lower subansiri,0.0022,0.5
mudigere,0.0022,0.5
mulugu,0.0585,0.5
mumbai,0.3745,0.5
mumbai colaba,0.0022,0.5
mumbai suburban,0.0585,0.5
mungair,0.5,0.6176
mungeli,0.0432,0.5
munger,0.4012,0.5
murshidabad,0.3176,0.4467
muzaffarabad,0.0372,0.5
muzaffarnagar,0.1223,0.3583
muzaffarpur,0.3853,0.6547
mysore,0.5,0.5929
mysuru,0.1184,0.5
nabarangapur,0.0092,0.5
nabarangpur,0.0065,0.5
nadia,0.2902,0.435
nagaland,0.0022,0.5
nagaon,0.6693,0.6837
nagapattinam,0.2377,0.5
nagarkoil,0.0022,0.5
nagarkurnool,0.0337,0.5
nagaur,0.0499,0.7766
nagpur,0.3915,0.7212
nainital,0.0548,0.3258
nalanda,0.4603,0.5
nalbari,0.4338,0.5
nalgonda,0.0435,0.6521
namakkal,0.0364,0.5
namchi,0.039,0.5
namsai,0.119,0.5
nanded,0.1672,0.7897
nandurbar,0.0652,0.5
narayanpet,0.0314,0.5
narayanpur,0.0164,0.5
narmada,0.12,0.5
narmadapuram,0.0584,0.5
narsimhapur,0.07,0.5
narsinghpur,0.5,0.5629
nashik,0.1863,0.5
nasik,0.5,0.7071
navsari,0.1128,0.5
nawada,0.1195,0.5
nayagarh,0.1504,0.5
neemuch,0.027,0.5
neighborhood,0.0022,0.5
neighbourhood,0.0043,0.5
new delhi,0.0263,0.5
new new delhi,0.0563,0.5
nicobars,0.0019,0.5
nirmal,0.0308,0.5
niwari,0.0626,0.5
nizamabad,0.0616,0.5597
noney,0.0675,0.5
north,0.0776,0.5
north   middle andaman,0.0278,0.5
north  district,0.0013,0.5
north  parganas,0.1039,0.5
north and middle andaman,0.0043,0.5
north arcot / vellore,0.5,0.6177
north bengal,0.0087,0.5
north cachar hil / dima hasao,0.5,0.6934
north east,0.0656,0.5
north garo hills,0.0449,0.5
north goa,0.0724,0.5
north tripura,0.0954,0.5
north twenty four pargan,0.2376,0.5
north west,0.0367,0.5
north westduar,0.013,0.5
north westdusar,0.0022,0.5
northern parts,0.0043,0.5
ntr,0.0022,0.5
nuapada,0.0685,0.5
nuh,0.038,0.5
orissa,0.0022,0.5
osmanabad,0.0,0.833
out of  districts,0.0022,0.5
pak,0.0065,0.5
pakke kessang,0.0689,0.5
pakur,0.0875,0.5
palakkad,0.1914,0.7189
palamau,0.5,0.7621
palampur,0.0022,0.5
palamu,0.042,0.5
palghar,0.0949,0.5
pali,0.0754,0.7633
palnadu,0.0022,0.5
palwal,0.0617,0.5
panch mahals,0.0623,0.5
panchkula,0.0601,0.5
panchmahal,0.5,0.6875
panipat,0.0819,0.5
panna,0.0395,0.7783
papum pare,0.0802,0.5
parbhani,0.1756,0.7941
paschim bardhaman,0.0367,0.5
paschim medinipur,0.0022,0.5
paschim purba bardhaman,0.013,0.5
paschim purba medinipur,0.0541,0.5
pashchim champaran,0.2732,0.5
pashchimi singhbhum,0.0184,0.5
pashchimi west singhbhum,0.0087,0.5
patan,0.0982,0.5
pathanamthitta,0.1833,0.5
pathankot,0.0788,0.5
patiala,0.2185,0.0789
patna,0.5521,0.5449
peddapalli,0.0615,0.5
perambalur,0.0475,0.5
peren,0.0189,0.5
phek,0.046,0.5
pherzawl,0.0588,0.5
phulbani ( kandhamal ),0.5,0.6755
pilibhit,0.1272,0.3721
pithoragarh,0.0673,0.5
pithorgarh,0.5,0.7048
pondicherry,0.013,0.5
poonch,0.0887,0.5
porbandar,0.1636,0.5
prakasam,0.09,0.5
pratapgarh,0.1717,0.5443
prayagraj,0.2911,0.5
puducherry,0.0199,0.5
pudukkottai,0.052,0.5
pulwama,0.1326,0.5
punch,0.0144,0.5
pune,0.3011,0.6595
purba bardhaman,0.2025,0.5
purba champaran,0.1987,0.5
purba medinipur,0.4077,0.5
purba purba bardhaman,0.0433,0.5
purba purba medinipur,0.0758,0.5
purbi champaran,0.1472,0.5
purbi singhbhum,0.0349,0.5
purbi west singhbhum,0.0108,0.5
puri,0.0977,0.6679
purnea,0.5,0.6596
purnia,0.2442,0.5
purulia,0.0433,0.5597
puruliya,0.0065,0.5
rae bareli,0.1855,0.5
rae-bareily,0.5,0.5455
raichur,0.1437,0.5896
raigad,0.0087,0.7147
