district,flood_count,flood_risk_freq,flood_risk_area,flood_risk
kasaragod,67.0,0.29004329004329,0.097527017901579,0.1938
buxar,37.0,0.1601731601731601,0.2239318251125799,0.1921
hardoi,46.0,0.1991341991341991,0.1840043471692967,0.1916
sultanpur,46.0,0.1991341991341991,0.1840366543544243,0.1916
jaunpur,47.0,0.2034632034632034,0.1796358169150746,0.1915
ganganagar,24.0,0.1038961038961039,0.2791902733077379,0.1915
palakkad,70.0,0.303030303030303,0.0798197957166999,0.1914
bengaluru rural,87.0,0.3766233766233766,0.0051029833023404,0.1909
cuddalore,30.0,0.1298701298701298,0.2485740263223738,0.1892
central,16.0,0.0692640692640692,0.3069411478270628,0.1881
amravati,80.0,0.3463203463203463,0.0288010372338799,0.1876
faridabad,19.0,0.0822510822510822,0.2925734721474557,0.1874
nashik,86.0,0.3722943722943723,0.0004010847891853,0.1863
rae bareli,35.0,0.1515151515151515,0.2195518705580068,0.1855
dakshina kannada,75.0,0.3246753246753247,0.0434549149545984,0.1841
ludhiana,38.0,0.1645021645021645,0.2023260958237525,0.1834
pathanamthitta,75.0,0.3246753246753247,0.0419832647555058,0.1833
shahjahanpur,38.0,0.1645021645021645,0.2013755217627141,0.1829
bareilly,43.0,0.1861471861471861,0.1765352077652618,0.1813
madhepura,45.0,0.1948051948051948,0.1654296801667878,0.1801
kaushambi,32.0,0.1385281385281385,0.2210830678017684,0.1798
mathura,36.0,0.1558441558441558,0.2035166231607131,0.1797
ghazipur,1.0,0.0043290043290043,0.3547515300885916,0.1795
bathinda,42.0,0.1818181818181818,0.1720764712415639,0.1769
parbhani,52.0,0.2251082251082251,0.1261861811527655,0.1756
yamunanagar,25.0,0.1082251082251082,0.2426401007690482,0.1754
jalaun,33.0,0.1428571428571428,0.2033766116000903,0.1731
unnao,45.0,0.1948051948051948,0.1486920025520677,0.1717
pratapgarh,61.0,0.264069264069264,0.0793793975826775,0.1717
firozpur,0.0,0.0,0.3423139961001244,0.1712
tarn taran,24.0,0.1038961038961039,0.2373147299881466,0.1706
agra,39.0,0.1688311688311688,0.1706645922009388,0.1697
bulandshahr,33.0,0.1428571428571428,0.1948728505499714,0.1689
washim,78.0,0.3376623376623376,3.107282356174249e-06,0.1688
nanded,66.0,0.2857142857142857,0.0486993273563859,0.1672
dakshin dinajpur,39.0,0.1688311688311688,0.1629158356120412,0.1659
medinipur west,0.0,0.0,0.3307328664248737,0.1654
bilaspur,62.0,0.2683982683982684,0.0622129230461792,0.1653
wardha,70.0,0.303030303030303,0.0272873400434807,0.1652
shrawasti,1.0,0.0043290043290043,0.3256592838979857,0.165
rampur,32.0,0.1385281385281385,0.191175081633271,0.1649
chamba,74.0,0.3203463203463203,0.008823867478756,0.1646
chandrapur,64.0,0.277056277056277,0.0518536905436173,0.1645
gaya,42.0,0.1818181818181818,0.1469202592780575,0.1644
bhandara,58.0,0.2510822510822511,0.0771040395311136,0.1641
porbandar,28.0,0.1212121212121212,0.2059915428655843,0.1636
east godavari,39.0,0.1688311688311688,0.1567482773507077,0.1628
kurukshetra,21.0,0.0909090909090909,0.2328861165772152,0.1619
gautam buddha nagar,29.0,0.1255411255411255,0.1976317394553464,0.1616
west godavari,40.0,0.1731601731601731,0.1498290206241789,0.1615
ambala,33.0,0.1428571428571428,0.1799611391753812,0.1614
moradabad,37.0,0.1601731601731601,0.1625052773370217,0.1613
faridkot,31.0,0.1341991341991342,0.1880226617675187,0.1611
kota,51.0,0.2207792207792207,0.1007388846931616,0.1608
gadchiroli,58.0,0.2510822510822511,0.0703988498361338,0.1607
firozabad,33.0,0.1428571428571428,0.1784916454471772,0.1607
amritsar,49.0,0.2121212121212121,0.1082980634878296,0.1602
akola,68.0,0.2943722943722944,0.025630227209604,0.16
mau,29.0,0.1255411255411255,0.192452277001842,0.159
mirzapur,47.0,0.2034632034632034,0.1136742932841988,0.1586
yavatmal,73.0,0.316017316017316,8.259406270638966e-05,0.158
kapurthala,40.0,0.1731601731601731,0.1427997188580031,0.158
budaun,35.0,0.1515151515151515,0.1632609656543627,0.1574
sirmaur,63.0,0.2727272727272727,0.041396473955974,0.1571
belagavi,65.0,0.2813852813852814,0.0303129318195105,0.1558
birbhum,28.0,0.1212121212121212,0.1897929923710625,0.1555
lucknow,52.0,0.2251082251082251,0.0842125130737158,0.1547
darjeeling,71.0,0.3073593073593073,0.0,0.1537
uttar kashia kannada,71.0,0.3073593073593073,0.0,0.1537
rohtas,33.0,0.1428571428571428,0.1639506958923302,0.1534
ratnagiri,65.0,0.2813852813852814,0.0243530098275885,0.1529
fazilka,24.0,0.1038961038961039,0.2007476912139614,0.1523
baghpat,28.0,0.1212121212121212,0.1821227604903241,0.1517
meerut,38.0,0.1645021645021645,0.1387046001139762,0.1516
nayagarh,26.0,0.1125541125541125,0.1882914002467851,0.1504
kushinagar,28.0,0.1212121212121212,0.1781586809656163,0.1497
anand,16.0,0.0692640692640692,0.2287585834595193,0.149
solan,66.0,0.2857142857142857,0.0118816357985871,0.1488
kannauj,33.0,0.1428571428571428,0.1527814995703756,0.1478
purbi champaran,68.0,0.2943722943722944,0.0,0.1472
west,16.0,0.0692640692640692,0.2249141517469456,0.1471
bharuch,50.0,0.2164502164502164,0.0770662635713726,0.1468
kodagu,61.0,0.264069264069264,0.0271373954240365,0.1456
vadodara,37.0,0.1601731601731601,0.1288486046043937,0.1445
raichur,58.0,0.2510822510822511,0.0364075696569825,0.1437
sheikhpura,32.0,0.1385281385281385,0.1484035803280793,0.1435
ambedkar nagar,32.0,0.1385281385281385,0.1465882866291713,0.1426
amroha,29.0,0.1255411255411255,0.1586642214284933,0.1421
uttar dinajpur,0.0,0.0,0.2822183477769702,0.1411
bijnor,31.0,0.1341991341991342,0.1476428927151622,0.1409
kinnaur,59.0,0.2554112554112554,0.0228428807202056,0.1391
mainpuri,34.0,0.1471861471861472,0.1288222834674912,0.138
junagadh,52.0,0.2251082251082251,0.0504809519152894,0.1378
jammu,48.0,0.2077922077922078,0.0672859814837543,0.1375
ballari,58.0,0.2510822510822511,0.0232250469435327,0.1372
hisar,21.0,0.0909090909090909,0.1795089145723104,0.1352
saharanpur,36.0,0.1558441558441558,0.113671053328506,0.1348
kolhapur,54.0,0.2337662337662337,0.0335512874735093,0.1337
sindhudurg,54.0,0.2337662337662337,0.0328541132199549,0.1333
balrampur,37.0,0.1601731601731601,0.106205609071629,0.1332
ganjam,36.0,0.1558441558441558,0.1098708853187651,0.1329
pulwama,32.0,0.1385281385281385,0.1266485299506228,0.1326
kachchh,31.0,0.1341991341991342,0.1307547543503918,0.1325
amethi,33.0,0.1428571428571428,0.1215071917772848,0.1322
buldhana,61.0,0.264069264069264,0.0,0.132
beed,60.0,0.2597402597402597,0.0,0.1299
kaimur bhabua,34.0,0.1471861471861472,0.1103755227054821,0.1288
lohit,38.0,0.1645021645021645,0.0909134715729979,0.1277
dharwad,56.0,0.2424242424242424,0.0119855338378631,0.1272
pilibhit,35.0,0.1515151515151515,0.1029750950933917,0.1272
kalaburagi,53.0,0.2294372294372294,0.0238250064395569,0.1266
mahrajganj,26.0,0.1125541125541125,0.1377372898237653,0.1251
raigarh,53.0,0.2294372294372294,0.0183650440832328,0.1239
ayodhya,57.0,0.2467532467532467,0.0,0.1234
jalgaon,47.0,0.2034632034632034,0.0431287373449729,0.1233
karnal,24.0,0.1038961038961039,0.1417652691284537,0.1228
muzaffarnagar,42.0,0.1818181818181818,0.0627006039422784,0.1223
sahibganj,0.0,0.0,0.2431308387399167,0.1216
jiribam,5.0,0.0216450216450216,0.221514834760543,0.1216
ghaziabad,32.0,0.1385281385281385,0.1047383585345849,0.1216
tiruchirappalli,29.0,0.1255411255411255,0.1172519182819267,0.1214
mansa,29.0,0.1255411255411255,0.1168049105688641,0.1212
sangrur,32.0,0.1385281385281385,0.1036714414297657,0.1211
srikakulam,22.0,0.0952380952380952,0.1459112114547693,0.1206
narmada,25.0,0.1082251082251082,0.1318688572734649,0.12
nawada,38.0,0.1645021645021645,0.074559668043895,0.1195
bijapur,36.0,0.1558441558441558,0.0824766371514763,0.1192
valsad,38.0,0.1645021645021645,0.0736146754917058,0.1191
namsai,18.0,0.0779220779220779,0.1601601748936329,0.119
mysuru,51.0,0.2207792207792207,0.0159991408609819,0.1184
