district,flood_count,flood_risk_freq
rajanna sircilla,4,0.017316017316017316
raigad,4,0.017316017316017316
pherzawl,4,0.017316017316017316
goa,4,0.017316017316017316
churachandpur,4,0.017316017316017316
meghalaya,4,0.017316017316017316
giridih,4,0.017316017316017316
districts,4,0.017316017316017316
senapati,4,0.017316017316017316
himachal pradesh,4,0.017316017316017316
medchal malkajgiri,4,0.017316017316017316
sikkim,4,0.017316017316017316
chandel,4,0.017316017316017316
mahasamund,4,0.017316017316017316
kangpokpi,4,0.017316017316017316
jogulamba gadwal,4,0.017316017316017316
north bengal,4,0.017316017316017316
pashchimi west singhbhum,4,0.017316017316017316
dumka,4,0.017316017316017316
bhadradri bhadradri kothagudem bhadradri kothagudem,4,0.017316017316017316
ukhrul,4,0.017316017316017316
kanniyakumari,4,0.017316017316017316
kalimpong,4,0.017316017316017316
kakching,4,0.017316017316017316
tengnoupal,4,0.017316017316017316
kamjong,4,0.017316017316017316
uttar pradesh,3,0.012987012987012988
kamareddy,3,0.012987012987012988
bagalkotee bengaluru urban,3,0.012987012987012988
korba,3,0.012987012987012988
bagalkote,3,0.012987012987012988
uttar kashiakhand,3,0.012987012987012988
suryapet,3,0.012987012987012988
mancherial,3,0.012987012987012988
jaloree,3,0.012987012987012988
wanaparthy,3,0.012987012987012988
peddapalli,3,0.012987012987012988
pak,3,0.012987012987012988
pakur,3,0.012987012987012988
yadadri yadadri bhuvanagiri yadadri bhuvanagiri,3,0.012987012987012988
east jaintia hills,3,0.012987012987012988
jamtara,3,0.012987012987012988
jagdalpur,3,0.012987012987012988
nabarangpur,3,0.012987012987012988
nirmal,3,0.012987012987012988
dhamtari,3,0.012987012987012988
dhanbad,3,0.012987012987012988
nagarkurnool,3,0.012987012987012988
peren,3,0.012987012987012988
dimapur,3,0.012987012987012988
many districts of uttar kashi pradesh,2,0.008658008658008658
mungeli,2,0.008658008658008658
many districts of tamil nadu,2,0.008658008658008658
marathwada,2,0.008658008658008658
saraikela kharsawan,2,0.008658008658008658
many  the state,2,0.008658008658008658
west bengal,2,0.008658008658008658
dadra and nagar haveli,2,0.008658008658008658
dakshin bastar dantewada,2,0.008658008658008658
narayanpur,2,0.008658008658008658
phek,2,0.008658008658008658
northern parts,2,0.008658008658008658
districts of assam,2,0.008658008658008658
east  west godavari,2,0.008658008658008658
ananthapuramu,2,0.008658008658008658
yadadri bhuvanagiri,2,0.008658008658008658
wokha,2,0.008658008658008658
zunheboto,2,0.008658008658008658
uttar kashi,2,0.008658008658008658
kashmir,2,0.008658008658008658
kiphire,2,0.008658008658008658
bemetara,2,0.008658008658008658
koderma,2,0.008658008658008658
karaikal,2,0.008658008658008658
karnataka,2,0.008658008658008658
siliguri,2,0.008658008658008658
southern parts,2,0.008658008658008658
kabeerdham,2,0.008658008658008658
jangoan,2,0.008658008658008658
tripura,2,0.008658008658008658
simdega,2,0.008658008658008658
jagitial,2,0.008658008658008658
silchar,2,0.008658008658008658
neighbourhood,2,0.008658008658008658
north and middle andaman,2,0.008658008658008658
chamarajanagaraa hassan,2,0.008658008658008658
latehar,2,0.008658008658008658
maharashtra,2,0.008658008658008658
few districts,1,0.004329004329004329
nagarkoil,1,0.004329004329004329
coastal districts of andhra pradesh,1,0.004329004329004329
ghat area,1,0.004329004329004329
rural,1,0.004329004329004329
gadchiroli yavotmal,1,0.004329004329004329
nagaland,1,0.004329004329004329
ramagiri,1,0.004329004329004329
mokokchung,1,0.004329004329004329
mon,1,0.004329004329004329
greater kolkata area,1,0.004329004329004329
orissa,1,0.004329004329004329
out of  districts,1,0.004329004329004329
east  west purba purba medinipur,1,0.004329004329004329
ntr,1,0.004329004329004329
palnadu,1,0.004329004329004329
north westdusar,1,0.004329004329004329
paschim medinipur,1,0.004329004329004329
districts of cauvery delta zone,1,0.004329004329004329
yadadri yadadri bhuvanagiri,1,0.004329004329004329
west singhbhum,1,0.004329004329004329
akharpur,1,0.004329004329004329
west madhya pradesh,1,0.004329004329004329
andhra pradesh,1,0.004329004329004329
yanam,1,0.004329004329004329
districts of orissa,1,0.004329004329004329
districts of rajasthan,1,0.004329004329004329
east west singhbhum,1,0.004329004329004329
entire village,1,0.004329004329004329
ernakulam ant thiruvananthapuram,1,0.004329004329004329
ernakulam kannur,1,0.004329004329004329
districts of cauvery delta,1,0.004329004329004329
rajasthan,1,0.004329004329004329
palampur,1,0.004329004329004329
different  jammu,1,0.004329004329004329
ghazipur,1,0.004329004329004329
most parts,1,0.004329004329004329
rugi,1,0.004329004329004329
darjeelingm,1,0.004329004329004329
most upper lower subansiri,1,0.004329004329004329
mudigere,1,0.004329004329004329
devbhumi dwarka,1,0.004329004329004329
neighborhood,1,0.004329004329004329
hilly areas,1,0.004329004329004329
heavy rains hazaribagh,1,0.004329004329004329
many  tamil nadu,1,0.004329004329004329
many districts of south bengal,1,0.004329004329004329
shrawasti,1,0.004329004329004329
several other district andhra pradesh,1,0.004329004329004329
mangalbari,1,0.004329004329004329
mumbai colaba,1,0.004329004329004329
santal pargan,1,0.004329004329004329
chumanung,1,0.004329004329004329
chikodi,1,0.004329004329004329
chhatisgarh,1,0.004329004329004329
hyderabad   telangana,1,0.004329004329004329
south salmara mancachar  mankachar,1,0.004329004329004329
south gujarat,1,0.004329004329004329
south kashmir,1,0.004329004329004329
malikkeri,1,0.004329004329004329
longleng,1,0.004329004329004329
lower subansiri,1,0.004329004329004329
sivasagar amd sonitpur,1,0.004329004329004329
some districts of punjab,1,0.004329004329004329
mahe,1,0.004329004329004329
chamarajanagaraa davangere,1,0.004329004329004329
chamarajanagaraa gadag,1,0.004329004329004329
chamarajanagara,1,0.004329004329004329
central part of uttar kashi pradesh,1,0.004329004329004329
chamarajanagaraa  kalaburagi,1,0.004329004329004329
south assam,1,0.004329004329004329
